Total_Weight,Planet_Gears,Input_Shaft,Output_Shaft,Housing,Ring_Gear,Sun_Gear,Carrier,Bearings,Seals
25,5,2.5,2.5,5,3.8,3,2,1.8,0.8
95,19,9.5,9.5,19,14.2,11.4,7.6,6.6,2.8
54,10.8,5.4,5.4,10.8,8.1,6.5,4.3,3.8,1.6
58,11.6,5.8,5.8,11.6,8.7,7,4.6,4.1,1.7
67,13.4,6.7,6.7,13.4,10,8,5.4,4.7,2
46,9.2,4.6,4.6,9.2,6.9,5.5,3.7,3.2,1.4
24,4.8,2.4,2.4,4.8,3.6,2.9,1.9,1.7,0.7
32,6.4,3.2,3.2,6.4,4.8,3.8,2.6,2.2,1
47,9.4,4.7,4.7,9.4,7,5.6,3.8,3.3,1.4
86,17.2,8.6,8.6,17.2,12.9,10.3,6.9,6,2.6
23,4.6,2.3,2.3,4.6,3.4,2.8,1.8,1.6,0.7
66,13.2,6.6,6.6,13.2,9.9,7.9,5.3,4.6,2
27,5.4,2.7,2.7,5.4,4,3.2,2.2,1.9,0.8
2,0.4,0.2,0.2,0.4,0.3,0.2,0.2,0.1,0.1
90,18,9,9,18,13.5,10.8,7.2,6.3,2.7
17,3.4,1.7,1.7,3.4,2.6,2,1.4,1.2,0.5
33,6.6,3.3,3.3,6.6,5,4,2.6,2.3,1
9,1.8,0.9,0.9,1.8,1.3,1.1,0.7,0.6,0.3
43,8.6,4.3,4.3,8.6,6.4,5.2,3.4,3,1.3
48,9.6,4.8,4.8,9.6,7.2,5.8,3.8,3.4,1.4
39,7.8,3.9,3.9,7.8,5.8,4.7,3.1,2.7,1.2
93,18.6,9.3,9.3,18.6,14,11.2,7.4,6.5,2.8
42,8.4,4.2,4.2,8.4,6.3,5,3.4,2.9,1.3
26,5.2,2.6,2.6,5.2,3.9,3.1,2.1,1.8,0.8
99,19.8,9.9,9.9,19.8,14.8,11.9,7.9,6.9,3
50,10,5,5,10,7.5,6,4,3.5,1.5
25,5,2.5,2.5,5,3.8,3,2,1.8,0.8
24,4.8,2.4,2.4,4.8,3.6,2.9,1.9,1.7,0.7
13,2.6,1.3,1.3,2.6,2,1.6,1,0.9,0.4
60,12,6,6,12,9,7.2,4.8,4.2,1.8
7,1.4,0.7,0.7,1.4,1,0.8,0.6,0.5,0.2
57,11.4,5.7,5.7,11.4,8.5,6.8,4.6,4,1.7
36,7.2,3.6,3.6,7.2,5.4,4.3,2.9,2.5,1.1
45,9,4.5,4.5,9,6.8,5.4,3.6,3.2,1.3
20,4,2,2,4,3,2.4,1.6,1.4,0.6
65,13,6.5,6.5,13,9.8,7.8,5.2,4.6,2
8,1.6,0.8,0.8,1.6,1.2,1,0.6,0.6,0.2
16,3.2,1.6,1.6,3.2,2.4,1.9,1.3,1.1,0.5
14,2.8,1.4,1.4,2.8,2.1,1.7,1.1,1,0.4
76,15.2,7.6,7.6,15.2,11.4,9.1,6.1,5.3,2.3
87,17.4,8.7,8.7,17.4,13,10.4,7,6.1,2.6
15,3,1.5,1.5,3,2.2,1.8,1.2,1,0.4
92,18.4,9.2,9.2,18.4,13.8,11,7.4,6.4,2.8
98,19.6,9.8,9.8,19.6,14.7,11.8,7.8,6.9,2.9
66,13.2,6.6,6.6,13.2,9.9,7.9,5.3,4.6,2
32,6.4,3.2,3.2,6.4,4.8,3.8,2.6,2.2,1
87,17.4,8.7,8.7,17.4,13,10.4,7,6.1,2.6
63,12.6,6.3,6.3,12.6,9.4,7.6,5,4.4,1.9
86,17.2,8.6,8.6,17.2,12.9,10.3,6.9,6,2.6
51,10.2,5.1,5.1,10.2,7.6,6.1,4.1,3.6,1.5
25,5,2.5,2.5,5,3.8,3,2,1.8,0.8
58,11.6,5.8,5.8,11.6,8.7,7,4.6,4.1,1.7
63,12.6,6.3,6.3,12.6,9.4,7.6,5,4.4,1.9
62,12.4,6.2,6.2,12.4,9.3,7.4,5,4.3,1.9
22,4.4,2.2,2.2,4.4,3.3,2.6,1.8,1.5,0.7
58,11.6,5.8,5.8,11.6,8.7,7,4.6,4.1,1.7
58,11.6,5.8,5.8,11.6,8.7,7,4.6,4.1,1.7
86,17.2,8.6,8.6,17.2,12.9,10.3,6.9,6,2.6
49,9.8,4.9,4.9,9.8,7.4,5.9,3.9,3.4,1.5
52,10.4,5.2,5.2,10.4,7.8,6.2,4.2,3.6,1.6
42,8.4,4.2,4.2,8.4,6.3,5,3.4,2.9,1.3
70,14,7,7,14,10.5,8.4,5.6,4.9,2.1
15,3,1.5,1.5,3,2.2,1.8,1.2,1,0.4
54,10.8,5.4,5.4,10.8,8.1,6.5,4.3,3.8,1.6
60,12,6,6,12,9,7.2,4.8,4.2,1.8
97,19.4,9.7,9.7,19.4,14.6,11.6,7.8,6.8,2.9
8,1.6,0.8,0.8,1.6,1.2,1,0.6,0.6,0.2
53,10.6,5.3,5.3,10.6,8,6.4,4.2,3.7,1.6
60,12,6,6,12,9,7.2,4.8,4.2,1.8
5,1,0.5,0.5,1,0.8,0.6,0.4,0.4,0.2
68,13.6,6.8,6.8,13.6,10.2,8.2,5.4,4.8,2
6,1.2,0.6,0.6,1.2,0.9,0.7,0.5,0.4,0.2
96,19.2,9.6,9.6,19.2,14.4,11.5,7.7,6.7,2.9
94,18.8,9.4,9.4,18.8,14.1,11.3,7.5,6.6,2.8
47,9.4,4.7,4.7,9.4,7,5.6,3.8,3.3,1.4
99,19.8,9.9,9.9,19.8,14.8,11.9,7.9,6.9,3
55,11,5.5,5.5,11,8.2,6.6,4.4,3.9,1.6
40,8,4,4,8,6,4.8,3.2,2.8,1.2
52,10.4,5.2,5.2,10.4,7.8,6.2,4.2,3.6,1.6
16,3.2,1.6,1.6,3.2,2.4,1.9,1.3,1.1,0.5
13,2.6,1.3,1.3,2.6,2,1.6,1,0.9,0.4
30,6,3,3,6,4.5,3.6,2.4,2.1,0.9
19,3.8,1.9,1.9,3.8,2.8,2.3,1.5,1.3,0.6
17,3.4,1.7,1.7,3.4,2.6,2,1.4,1.2,0.5
63,12.6,6.3,6.3,12.6,9.4,7.6,5,4.4,1.9
19,3.8,1.9,1.9,3.8,2.8,2.3,1.5,1.3,0.6
92,18.4,9.2,9.2,18.4,13.8,11,7.4,6.4,2.8
58,11.6,5.8,5.8,11.6,8.7,7,4.6,4.1,1.7
55,11,5.5,5.5,11,8.2,6.6,4.4,3.9,1.6
90,18,9,9,18,13.5,10.8,7.2,6.3,2.7
90,18,9,9,18,13.5,10.8,7.2,6.3,2.7
62,12.4,6.2,6.2,12.4,9.3,7.4,5,4.3,1.9
23,4.6,2.3,2.3,4.6,3.4,2.8,1.8,1.6,0.7
9,1.8,0.9,0.9,1.8,1.3,1.1,0.7,0.6,0.3
12,2.4,1.2,1.2,2.4,1.8,1.4,1,0.8,0.4
1,0.2,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0
58,11.6,5.8,5.8,11.6,8.7,7,4.6,4.1,1.7
1,0.2,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0
34,6.8,3.4,3.4,6.8,5.1,4.1,2.7,2.4,1
96,19.2,9.6,9.6,19.2,14.4,11.5,7.7,6.7,2.9
48,9.6,4.8,4.8,9.6,7.2,5.8,3.8,3.4,1.4
89,17.8,8.9,8.9,17.8,13.4,10.7,7.1,6.2,2.7
1,0.2,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0
16,3.2,1.6,1.6,3.2,2.4,1.9,1.3,1.1,0.5
61,12.2,6.1,6.1,12.2,9.2,7.3,4.9,4.3,1.8
64,12.8,6.4,6.4,12.8,9.6,7.7,5.1,4.5,1.9
63,12.6,6.3,6.3,12.6,9.4,7.6,5,4.4,1.9
69,13.8,6.9,6.9,13.8,10.4,8.3,5.5,4.8,2.1
22,4.4,2.2,2.2,4.4,3.3,2.6,1.8,1.5,0.7
93,18.6,9.3,9.3,18.6,14,11.2,7.4,6.5,2.8
67,13.4,6.7,6.7,13.4,10,8,5.4,4.7,2
76,15.2,7.6,7.6,15.2,11.4,9.1,6.1,5.3,2.3
26,5.2,2.6,2.6,5.2,3.9,3.1,2.1,1.8,0.8
16,3.2,1.6,1.6,3.2,2.4,1.9,1.3,1.1,0.5
51,10.2,5.1,5.1,10.2,7.6,6.1,4.1,3.6,1.5
86,17.2,8.6,8.6,17.2,12.9,10.3,6.9,6,2.6
57,11.4,5.7,5.7,11.4,8.5,6.8,4.6,4,1.7
29,5.8,2.9,2.9,5.8,4.4,3.5,2.3,2,0.9
78,15.6,7.8,7.8,15.6,11.7,9.4,6.2,5.5,2.3
92,18.4,9.2,9.2,18.4,13.8,11,7.4,6.4,2.8
69,13.8,6.9,6.9,13.8,10.4,8.3,5.5,4.8,2.1
47,9.4,4.7,4.7,9.4,7,5.6,3.8,3.3,1.4
94,18.8,9.4,9.4,18.8,14.1,11.3,7.5,6.6,2.8
62,12.4,6.2,6.2,12.4,9.3,7.4,5,4.3,1.9
69,13.8,6.9,6.9,13.8,10.4,8.3,5.5,4.8,2.1
76,15.2,7.6,7.6,15.2,11.4,9.1,6.1,5.3,2.3
16,3.2,1.6,1.6,3.2,2.4,1.9,1.3,1.1,0.5
90,18,9,9,18,13.5,10.8,7.2,6.3,2.7
90,18,9,9,18,13.5,10.8,7.2,6.3,2.7
48,9.6,4.8,4.8,9.6,7.2,5.8,3.8,3.4,1.4
85,17,8.5,8.5,17,12.8,10.2,6.8,6,2.6
39,7.8,3.9,3.9,7.8,5.8,4.7,3.1,2.7,1.2
100,20,10,10,20,15,12,8,7,3
33,6.6,3.3,3.3,6.6,5,4,2.6,2.3,1
94,18.8,9.4,9.4,18.8,14.1,11.3,7.5,6.6,2.8
23,4.6,2.3,2.3,4.6,3.4,2.8,1.8,1.6,0.7
10,2,1,1,2,1.5,1.2,0.8,0.7,0.3
69,13.8,6.9,6.9,13.8,10.4,8.3,5.5,4.8,2.1
100,20,10,10,20,15,12,8,7,3
34,6.8,3.4,3.4,6.8,5.1,4.1,2.7,2.4,1
52,10.4,5.2,5.2,10.4,7.8,6.2,4.2,3.6,1.6
95,19,9.5,9.5,19,14.2,11.4,7.6,6.6,2.8
10,2,1,1,2,1.5,1.2,0.8,0.7,0.3
19,3.8,1.9,1.9,3.8,2.8,2.3,1.5,1.3,0.6
58,11.6,5.8,5.8,11.6,8.7,7,4.6,4.1,1.7
96,19.2,9.6,9.6,19.2,14.4,11.5,7.7,6.7,2.9
1,0.2,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0
69,13.8,6.9,6.9,13.8,10.4,8.3,5.5,4.8,2.1
4,0.8,0.4,0.4,0.8,0.6,0.5,0.3,0.3,0.1
16,3.2,1.6,1.6,3.2,2.4,1.9,1.3,1.1,0.5
24,4.8,2.4,2.4,4.8,3.6,2.9,1.9,1.7,0.7
80,16,8,8,16,12,9.6,6.4,5.6,2.4
2,0.4,0.2,0.2,0.4,0.3,0.2,0.2,0.1,0.1
92,18.4,9.2,9.2,18.4,13.8,11,7.4,6.4,2.8
32,6.4,3.2,3.2,6.4,4.8,3.8,2.6,2.2,1
91,18.2,9.1,9.1,18.2,13.6,10.9,7.3,6.4,2.7
84,16.8,8.4,8.4,16.8,12.6,10.1,6.7,5.9,2.5
24,4.8,2.4,2.4,4.8,3.6,2.9,1.9,1.7,0.7
12,2.4,1.2,1.2,2.4,1.8,1.4,1,0.8,0.4
50,10,5,5,10,7.5,6,4,3.5,1.5
35,7,3.5,3.5,7,5.2,4.2,2.8,2.4,1
33,6.6,3.3,3.3,6.6,5,4,2.6,2.3,1
33,6.6,3.3,3.3,6.6,5,4,2.6,2.3,1
61,12.2,6.1,6.1,12.2,9.2,7.3,4.9,4.3,1.8
51,10.2,5.1,5.1,10.2,7.6,6.1,4.1,3.6,1.5
43,8.6,4.3,4.3,8.6,6.4,5.2,3.4,3,1.3
12,2.4,1.2,1.2,2.4,1.8,1.4,1,0.8,0.4
67,13.4,6.7,6.7,13.4,10,8,5.4,4.7,2
65,13,6.5,6.5,13,9.8,7.8,5.2,4.6,2
33,6.6,3.3,3.3,6.6,5,4,2.6,2.3,1
40,8,4,4,8,6,4.8,3.2,2.8,1.2
74,14.8,7.4,7.4,14.8,11.1,8.9,5.9,5.2,2.2
43,8.6,4.3,4.3,8.6,6.4,5.2,3.4,3,1.3
44,8.8,4.4,4.4,8.8,6.6,5.3,3.5,3.1,1.3
29,5.8,2.9,2.9,5.8,4.4,3.5,2.3,2,0.9
13,2.6,1.3,1.3,2.6,2,1.6,1,0.9,0.4
12,2.4,1.2,1.2,2.4,1.8,1.4,1,0.8,0.4
95,19,9.5,9.5,19,14.2,11.4,7.6,6.6,2.8
46,9.2,4.6,4.6,9.2,6.9,5.5,3.7,3.2,1.4
2,0.4,0.2,0.2,0.4,0.3,0.2,0.2,0.1,0.1
35,7,3.5,3.5,7,5.2,4.2,2.8,2.4,1
87,17.4,8.7,8.7,17.4,13,10.4,7,6.1,2.6
81,16.2,8.1,8.1,16.2,12.2,9.7,6.5,5.7,2.4
90,18,9,9,18,13.5,10.8,7.2,6.3,2.7
8,1.6,0.8,0.8,1.6,1.2,1,0.6,0.6,0.2
93,18.6,9.3,9.3,18.6,14,11.2,7.4,6.5,2.8
26,5.2,2.6,2.6,5.2,3.9,3.1,2.1,1.8,0.8
74,14.8,7.4,7.4,14.8,11.1,8.9,5.9,5.2,2.2
90,18,9,9,18,13.5,10.8,7.2,6.3,2.7
34,6.8,3.4,3.4,6.8,5.1,4.1,2.7,2.4,1
7,1.4,0.7,0.7,1.4,1,0.8,0.6,0.5,0.2
68,13.6,6.8,6.8,13.6,10.2,8.2,5.4,4.8,2
58,11.6,5.8,5.8,11.6,8.7,7,4.6,4.1,1.7
75,15,7.5,7.5,15,11.2,9,6,5.3,2.2
29,5.8,2.9,2.9,5.8,4.4,3.5,2.3,2,0.9
36,7.2,3.6,3.6,7.2,5.4,4.3,2.9,2.5,1.1
89,17.8,8.9,8.9,17.8,13.4,10.7,7.1,6.2,2.7
21,4.2,2.1,2.1,4.2,3.2,2.5,1.7,1.5,0.6
36,7.2,3.6,3.6,7.2,5.4,4.3,2.9,2.5,1.1
10,2,1,1,2,1.5,1.2,0.8,0.7,0.3
73,14.6,7.3,7.3,14.6,11,8.8,5.8,5.1,2.2
24,4.8,2.4,2.4,4.8,3.6,2.9,1.9,1.7,0.7
64,12.8,6.4,6.4,12.8,9.6,7.7,5.1,4.5,1.9
99,19.8,9.9,9.9,19.8,14.8,11.9,7.9,6.9,3
49,9.8,4.9,4.9,9.8,7.4,5.9,3.9,3.4,1.5
99,19.8,9.9,9.9,19.8,14.8,11.9,7.9,6.9,3
36,7.2,3.6,3.6,7.2,5.4,4.3,2.9,2.5,1.1
82,16.4,8.2,8.2,16.4,12.3,9.8,6.6,5.7,2.5
96,19.2,9.6,9.6,19.2,14.4,11.5,7.7,6.7,2.9
24,4.8,2.4,2.4,4.8,3.6,2.9,1.9,1.7,0.7
23,4.6,2.3,2.3,4.6,3.4,2.8,1.8,1.6,0.7
62,12.4,6.2,6.2,12.4,9.3,7.4,5,4.3,1.9
96,19.2,9.6,9.6,19.2,14.4,11.5,7.7,6.7,2.9
37,7.4,3.7,3.7,7.4,5.6,4.4,3,2.6,1.1
12,2.4,1.2,1.2,2.4,1.8,1.4,1,0.8,0.4
55,11,5.5,5.5,11,8.2,6.6,4.4,3.9,1.6
13,2.6,1.3,1.3,2.6,2,1.6,1,0.9,0.4
23,4.6,2.3,2.3,4.6,3.4,2.8,1.8,1.6,0.7
89,17.8,8.9,8.9,17.8,13.4,10.7,7.1,6.2,2.7
99,19.8,9.9,9.9,19.8,14.8,11.9,7.9,6.9,3
30,6,3,3,6,4.5,3.6,2.4,2.1,0.9
17,3.4,1.7,1.7,3.4,2.6,2,1.4,1.2,0.5
62,12.4,6.2,6.2,12.4,9.3,7.4,5,4.3,1.9
84,16.8,8.4,8.4,16.8,12.6,10.1,6.7,5.9,2.5
89,17.8,8.9,8.9,17.8,13.4,10.7,7.1,6.2,2.7
86,17.2,8.6,8.6,17.2,12.9,10.3,6.9,6,2.6
13,2.6,1.3,1.3,2.6,2,1.6,1,0.9,0.4
59,11.8,5.9,5.9,11.8,8.8,7.1,4.7,4.1,1.8
19,3.8,1.9,1.9,3.8,2.8,2.3,1.5,1.3,0.6
49,9.8,4.9,4.9,9.8,7.4,5.9,3.9,3.4,1.5
100,20,10,10,20,15,12,8,7,3
12,2.4,1.2,1.2,2.4,1.8,1.4,1,0.8,0.4
61,12.2,6.1,6.1,12.2,9.2,7.3,4.9,4.3,1.8
19,3.8,1.9,1.9,3.8,2.8,2.3,1.5,1.3,0.6
76,15.2,7.6,7.6,15.2,11.4,9.1,6.1,5.3,2.3
9,1.8,0.9,0.9,1.8,1.3,1.1,0.7,0.6,0.3
71,14.2,7.1,7.1,14.2,10.6,8.5,5.7,5,2.1
28,5.6,2.8,2.8,5.6,4.2,3.4,2.2,2,0.8
78,15.6,7.8,7.8,15.6,11.7,9.4,6.2,5.5,2.3
95,19,9.5,9.5,19,14.2,11.4,7.6,6.6,2.8
52,10.4,5.2,5.2,10.4,7.8,6.2,4.2,3.6,1.6
83,16.6,8.3,8.3,16.6,12.4,10,6.6,5.8,2.5
16,3.2,1.6,1.6,3.2,2.4,1.9,1.3,1.1,0.5
69,13.8,6.9,6.9,13.8,10.4,8.3,5.5,4.8,2.1
99,19.8,9.9,9.9,19.8,14.8,11.9,7.9,6.9,3
12,2.4,1.2,1.2,2.4,1.8,1.4,1,0.8,0.4
25,5,2.5,2.5,5,3.8,3,2,1.8,0.8
52,10.4,5.2,5.2,10.4,7.8,6.2,4.2,3.6,1.6
85,17,8.5,8.5,17,12.8,10.2,6.8,6,2.6
100,20,10,10,20,15,12,8,7,3
53,10.6,5.3,5.3,10.6,8,6.4,4.2,3.7,1.6
23,4.6,2.3,2.3,4.6,3.4,2.8,1.8,1.6,0.7
16,3.2,1.6,1.6,3.2,2.4,1.9,1.3,1.1,0.5
57,11.4,5.7,5.7,11.4,8.5,6.8,4.6,4,1.7
39,7.8,3.9,3.9,7.8,5.8,4.7,3.1,2.7,1.2
53,10.6,5.3,5.3,10.6,8,6.4,4.2,3.7,1.6
42,8.4,4.2,4.2,8.4,6.3,5,3.4,2.9,1.3
58,11.6,5.8,5.8,11.6,8.7,7,4.6,4.1,1.7
39,7.8,3.9,3.9,7.8,5.8,4.7,3.1,2.7,1.2
14,2.8,1.4,1.4,2.8,2.1,1.7,1.1,1,0.4
95,19,9.5,9.5,19,14.2,11.4,7.6,6.6,2.8
5,1,0.5,0.5,1,0.8,0.6,0.4,0.4,0.2
35,7,3.5,3.5,7,5.2,4.2,2.8,2.4,1
87,17.4,8.7,8.7,17.4,13,10.4,7,6.1,2.6
93,18.6,9.3,9.3,18.6,14,11.2,7.4,6.5,2.8
75,15,7.5,7.5,15,11.2,9,6,5.3,2.2
18,3.6,1.8,1.8,3.6,2.7,2.2,1.4,1.3,0.5
76,15.2,7.6,7.6,15.2,11.4,9.1,6.1,5.3,2.3
9,1.8,0.9,0.9,1.8,1.3,1.1,0.7,0.6,0.3
74,14.8,7.4,7.4,14.8,11.1,8.9,5.9,5.2,2.2
58,11.6,5.8,5.8,11.6,8.7,7,4.6,4.1,1.7
17,3.4,1.7,1.7,3.4,2.6,2,1.4,1.2,0.5
7,1.4,0.7,0.7,1.4,1,0.8,0.6,0.5,0.2
46,9.2,4.6,4.6,9.2,6.9,5.5,3.7,3.2,1.4
13,2.6,1.3,1.3,2.6,2,1.6,1,0.9,0.4
40,8,4,4,8,6,4.8,3.2,2.8,1.2
42,8.4,4.2,4.2,8.4,6.3,5,3.4,2.9,1.3
9,1.8,0.9,0.9,1.8,1.3,1.1,0.7,0.6,0.3
50,10,5,5,10,7.5,6,4,3.5,1.5
27,5.4,2.7,2.7,5.4,4,3.2,2.2,1.9,0.8
66,13.2,6.6,6.6,13.2,9.9,7.9,5.3,4.6,2
5,1,0.5,0.5,1,0.8,0.6,0.4,0.4,0.2
29,5.8,2.9,2.9,5.8,4.4,3.5,2.3,2,0.9
37,7.4,3.7,3.7,7.4,5.6,4.4,3,2.6,1.1
38,7.6,3.8,3.8,7.6,5.7,4.6,3,2.7,1.1
83,16.6,8.3,8.3,16.6,12.4,10,6.6,5.8,2.5
8,1.6,0.8,0.8,1.6,1.2,1,0.6,0.6,0.2
65,13,6.5,6.5,13,9.8,7.8,5.2,4.6,2
86,17.2,8.6,8.6,17.2,12.9,10.3,6.9,6,2.6
17,3.4,1.7,1.7,3.4,2.6,2,1.4,1.2,0.5
71,14.2,7.1,7.1,14.2,10.6,8.5,5.7,5,2.1
89,17.8,8.9,8.9,17.8,13.4,10.7,7.1,6.2,2.7
45,9,4.5,4.5,9,6.8,5.4,3.6,3.2,1.3
4,0.8,0.4,0.4,0.8,0.6,0.5,0.3,0.3,0.1
36,7.2,3.6,3.6,7.2,5.4,4.3,2.9,2.5,1.1
70,14,7,7,14,10.5,8.4,5.6,4.9,2.1
31,6.2,3.1,3.1,6.2,4.6,3.7,2.5,2.2,0.9
19,3.8,1.9,1.9,3.8,2.8,2.3,1.5,1.3,0.6
61,12.2,6.1,6.1,12.2,9.2,7.3,4.9,4.3,1.8
54,10.8,5.4,5.4,10.8,8.1,6.5,4.3,3.8,1.6
39,7.8,3.9,3.9,7.8,5.8,4.7,3.1,2.7,1.2
91,18.2,9.1,9.1,18.2,13.6,10.9,7.3,6.4,2.7
74,14.8,7.4,7.4,14.8,11.1,8.9,5.9,5.2,2.2
90,18,9,9,18,13.5,10.8,7.2,6.3,2.7
19,3.8,1.9,1.9,3.8,2.8,2.3,1.5,1.3,0.6
39,7.8,3.9,3.9,7.8,5.8,4.7,3.1,2.7,1.2
67,13.4,6.7,6.7,13.4,10,8,5.4,4.7,2
45,9,4.5,4.5,9,6.8,5.4,3.6,3.2,1.3
13,2.6,1.3,1.3,2.6,2,1.6,1,0.9,0.4
92,18.4,9.2,9.2,18.4,13.8,11,7.4,6.4,2.8
58,11.6,5.8,5.8,11.6,8.7,7,4.6,4.1,1.7
20,4,2,2,4,3,2.4,1.6,1.4,0.6
92,18.4,9.2,9.2,18.4,13.8,11,7.4,6.4,2.8
72,14.4,7.2,7.2,14.4,10.8,8.6,5.8,5,2.2
61,12.2,6.1,6.1,12.2,9.2,7.3,4.9,4.3,1.8
39,7.8,3.9,3.9,7.8,5.8,4.7,3.1,2.7,1.2
1,0.2,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0
3,0.6,0.3,0.3,0.6,0.4,0.4,0.2,0.2,0.1
77,15.4,7.7,7.7,15.4,11.5,9.2,6.2,5.4,2.3
92,18.4,9.2,9.2,18.4,13.8,11,7.4,6.4,2.8
62,12.4,6.2,6.2,12.4,9.3,7.4,5,4.3,1.9
63,12.6,6.3,6.3,12.6,9.4,7.6,5,4.4,1.9
25,5,2.5,2.5,5,3.8,3,2,1.8,0.8
56,11.2,5.6,5.6,11.2,8.4,6.7,4.5,3.9,1.7
33,6.6,3.3,3.3,6.6,5,4,2.6,2.3,1
38,7.6,3.8,3.8,7.6,5.7,4.6,3,2.7,1.1
6,1.2,0.6,0.6,1.2,0.9,0.7,0.5,0.4,0.2
58,11.6,5.8,5.8,11.6,8.7,7,4.6,4.1,1.7
44,8.8,4.4,4.4,8.8,6.6,5.3,3.5,3.1,1.3
45,9,4.5,4.5,9,6.8,5.4,3.6,3.2,1.3
32,6.4,3.2,3.2,6.4,4.8,3.8,2.6,2.2,1
45,9,4.5,4.5,9,6.8,5.4,3.6,3.2,1.3
61,12.2,6.1,6.1,12.2,9.2,7.3,4.9,4.3,1.8
47,9.4,4.7,4.7,9.4,7,5.6,3.8,3.3,1.4
21,4.2,2.1,2.1,4.2,3.2,2.5,1.7,1.5,0.6
80,16,8,8,16,12,9.6,6.4,5.6,2.4
85,17,8.5,8.5,17,12.8,10.2,6.8,6,2.6
75,15,7.5,7.5,15,11.2,9,6,5.3,2.2
36,7.2,3.6,3.6,7.2,5.4,4.3,2.9,2.5,1.1
99,19.8,9.9,9.9,19.8,14.8,11.9,7.9,6.9,3
19,3.8,1.9,1.9,3.8,2.8,2.3,1.5,1.3,0.6
20,4,2,2,4,3,2.4,1.6,1.4,0.6
57,11.4,5.7,5.7,11.4,8.5,6.8,4.6,4,1.7
18,3.6,1.8,1.8,3.6,2.7,2.2,1.4,1.3,0.5
47,9.4,4.7,4.7,9.4,7,5.6,3.8,3.3,1.4
49,9.8,4.9,4.9,9.8,7.4,5.9,3.9,3.4,1.5
14,2.8,1.4,1.4,2.8,2.1,1.7,1.1,1,0.4
15,3,1.5,1.5,3,2.2,1.8,1.2,1,0.4
31,6.2,3.1,3.1,6.2,4.6,3.7,2.5,2.2,0.9
1,0.2,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0
54,10.8,5.4,5.4,10.8,8.1,6.5,4.3,3.8,1.6
3,0.6,0.3,0.3,0.6,0.4,0.4,0.2,0.2,0.1
16,3.2,1.6,1.6,3.2,2.4,1.9,1.3,1.1,0.5
87,17.4,8.7,8.7,17.4,13,10.4,7,6.1,2.6
57,11.4,5.7,5.7,11.4,8.5,6.8,4.6,4,1.7
75,15,7.5,7.5,15,11.2,9,6,5.3,2.2
12,2.4,1.2,1.2,2.4,1.8,1.4,1,0.8,0.4
74,14.8,7.4,7.4,14.8,11.1,8.9,5.9,5.2,2.2
96,19.2,9.6,9.6,19.2,14.4,11.5,7.7,6.7,2.9
16,3.2,1.6,1.6,3.2,2.4,1.9,1.3,1.1,0.5
72,14.4,7.2,7.2,14.4,10.8,8.6,5.8,5,2.2
76,15.2,7.6,7.6,15.2,11.4,9.1,6.1,5.3,2.3
24,4.8,2.4,2.4,4.8,3.6,2.9,1.9,1.7,0.7
28,5.6,2.8,2.8,5.6,4.2,3.4,2.2,2,0.8
8,1.6,0.8,0.8,1.6,1.2,1,0.6,0.6,0.2
92,18.4,9.2,9.2,18.4,13.8,11,7.4,6.4,2.8
36,7.2,3.6,3.6,7.2,5.4,4.3,2.9,2.5,1.1
90,18,9,9,18,13.5,10.8,7.2,6.3,2.7
8,1.6,0.8,0.8,1.6,1.2,1,0.6,0.6,0.2
58,11.6,5.8,5.8,11.6,8.7,7,4.6,4.1,1.7
60,12,6,6,12,9,7.2,4.8,4.2,1.8
50,10,5,5,10,7.5,6,4,3.5,1.5
28,5.6,2.8,2.8,5.6,4.2,3.4,2.2,2,0.8
92,18.4,9.2,9.2,18.4,13.8,11,7.4,6.4,2.8
41,8.2,4.1,4.1,8.2,6.1,4.9,3.3,2.9,1.2
100,20,10,10,20,15,12,8,7,3
64,12.8,6.4,6.4,12.8,9.6,7.7,5.1,4.5,1.9
27,5.4,2.7,2.7,5.4,4,3.2,2.2,1.9,0.8
63,12.6,6.3,6.3,12.6,9.4,7.6,5,4.4,1.9
17,3.4,1.7,1.7,3.4,2.6,2,1.4,1.2,0.5
73,14.6,7.3,7.3,14.6,11,8.8,5.8,5.1,2.2
33,6.6,3.3,3.3,6.6,5,4,2.6,2.3,1
84,16.8,8.4,8.4,16.8,12.6,10.1,6.7,5.9,2.5
77,15.4,7.7,7.7,15.4,11.5,9.2,6.2,5.4,2.3
92,18.4,9.2,9.2,18.4,13.8,11,7.4,6.4,2.8
29,5.8,2.9,2.9,5.8,4.4,3.5,2.3,2,0.9
13,2.6,1.3,1.3,2.6,2,1.6,1,0.9,0.4
46,9.2,4.6,4.6,9.2,6.9,5.5,3.7,3.2,1.4
35,7,3.5,3.5,7,5.2,4.2,2.8,2.4,1
6,1.2,0.6,0.6,1.2,0.9,0.7,0.5,0.4,0.2
82,16.4,8.2,8.2,16.4,12.3,9.8,6.6,5.7,2.5
69,13.8,6.9,6.9,13.8,10.4,8.3,5.5,4.8,2.1
